@relation ant-1.7_mod_paper

@attribute loc numeric
@attribute cbo numeric
@attribute wmc numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dit numeric
@attribute noc numeric
@attribute bug {no,yes}

@data
106,10,3,18,3,1.1,1,0,no
76,4,5,13,0,0.625,2,0,no
7,1,1,3,0,2,2,0,no
101,13,8,20,12,0.8,1,9,no
16,7,3,4,1,0.5,2,5,no
183,7,13,28,20,0.809524,1,0,no
119,5,9,19,8,0.53125,1,0,no
255,9,7,25,0,0.666667,5,0,no
71,5,9,17,26,0.833333,6,0,no
38,19,3,10,3,2,2,0,no
1,10,1,1,0,2,1,0,no
54,3,9,12,20,0.8125,1,0,no
252,7,19,40,129,0.936508,4,0,no
110,13,10,26,0,0.111111,4,2,no
34,2,3,5,0,0,2,0,no
835,7,20,79,136,0.897507,1,0,no
6,8,6,6,15,2,1,0,no
70,7,5,14,6,0.625,2,0,no
1,1,1,1,0,2,1,0,no
181,7,11,26,0,0.58,2,0,no
51,5,3,15,3,2,4,0,no
29,5,3,7,1,0.5,2,0,no
18,12,4,5,0,0.333333,4,8,no
443,11,15,65,75,0.693878,1,0,no
309,3,11,24,17,0.671429,3,0,no
7,1,2,3,1,2,3,0,no
204,9,15,41,0,0.678571,3,0,no
108,11,14,29,85,0.576923,4,3,no
249,8,5,23,4,0.75,4,0,no
4,2,3,3,3,1.5,1,0,no
57,5,4,19,6,2,5,0,no
53,2,6,11,3,0.6,1,0,no
1133,20,55,106,1313,0.956553,3,8,no
136,4,3,19,3,2,2,0,no
169,4,8,22,0,0.428571,1,0,no
136,1,11,23,39,0.483333,2,0,no
91,10,10,29,43,0.833333,1,0,no
4,1,1,2,0,2,3,0,no
72,12,3,22,3,1.5,2,1,no
281,32,9,36,36,1.104167,1,0,no
43,24,7,8,3,0.666667,1,0,no
130,4,9,19,30,0.5,1,1,no
56,20,6,13,7,0.4,3,2,no
2,6,2,2,1,2,1,0,no
365,5,22,47,159,0.904762,3,0,no
245,3,10,30,27,0.761905,2,0,no
271,37,22,44,183,0.52381,2,28,no
19,3,2,4,1,2,3,0,no
16,3,3,6,3,2,1,0,no
76,3,4,16,2,0.666667,3,0,no
76,8,11,26,0,0,3,0,no
105,8,5,16,0,0.583333,5,0,no
241,3,5,41,10,2,1,0,no
218,3,7,26,0,0.5,1,0,no
157,6,4,33,0,0.333333,1,0,no
141,6,5,26,0,0.375,3,0,no
67,1,3,10,0,0,2,0,no
52,3,6,10,0,0.4,1,0,no
77,7,4,15,0,0.333333,5,0,no
19,2,4,6,0,0.333333,1,0,no
145,4,9,32,34,0.9375,1,1,no
329,11,8,31,0,0.693878,5,0,no
566,14,15,83,47,0.821429,4,0,no
1,3,1,1,0,2,1,0,no
878,8,17,67,90,0.703125,1,0,no
250,7,24,50,270,0.434783,4,2,no
106,8,4,20,0,0.777778,1,0,no
166,8,10,32,15,0.666667,3,0,no
1,4,1,1,0,2,1,0,no
249,15,10,36,3,0.583333,4,0,no
240,12,11,41,19,0.816667,4,3,no
156,3,12,22,44,0.805195,1,0,no
33,3,2,8,1,2,3,0,no
258,4,7,38,0,0.833333,3,0,no
4,6,4,4,6,2,1,0,no
42,5,4,8,4,0.833333,4,0,no
361,9,21,55,162,0.71,4,2,no
55,3,4,12,0,0.666667,4,0,no
455,11,12,75,44,0.936364,3,0,no
10,9,6,6,15,1.2,1,0,no
52,7,3,14,3,2,5,0,no
115,5,7,27,0,0.5,2,0,no
605,11,11,39,7,0.960606,2,3,no
654,2,17,81,100,0.7125,1,0,no
103,17,2,14,0,0,2,1,no
311,25,15,44,45,0.619048,3,0,no
375,184,29,66,346,0.839286,2,102,no
45,2,4,13,6,2,1,0,no
148,15,7,23,5,0.444444,1,0,no
1034,8,19,84,103,0.929487,4,0,no
5,1,1,2,0,2,3,0,no
197,10,8,23,0,0.761905,5,0,no
286,7,15,34,75,0.9,1,0,no
163,8,6,22,15,0.8,1,1,no
111,3,4,18,4,1,3,0,no
48,2,2,8,1,2,1,0,no
48,1,0,0,0,2,1,0,no
309,7,24,43,222,0.943734,4,0,no
14,1,3,4,1,0.5,1,0,no
161,3,4,7,0,0,4,0,no
40,1,1,7,0,2,7,0,no
125,8,4,10,0,0.333333,2,0,no
204,3,3,18,0,0.25,1,0,no
22,15,4,7,4,0.666667,4,12,no
143,9,8,24,8,0.742857,4,2,no
159,4,9,19,10,0.729167,2,0,no
27,4,3,9,3,2,4,0,no
678,13,22,80,59,0.977444,3,0,no
202,8,11,38,45,0.775,4,2,no
87,4,4,13,0,0,4,0,no
234,2,12,42,0,0.386364,1,0,no
39,2,5,7,4,0.5,1,0,no
213,10,12,52,60,0.545455,5,0,no
5,31,5,5,10,2,1,0,no
517,23,19,69,81,0.856481,1,0,no
49,1,4,15,6,1.333333,2,0,no
6,1,1,3,0,2,4,0,no
20,2,2,4,1,2,4,0,no
76,2,3,13,1,1.441176,1,0,no
106,12,7,26,9,1.041667,3,3,no
2,1,1,1,0,2,1,0,no
205,9,6,33,0,0.68,4,0,no
97,17,11,15,13,0.75,2,0,no
48,3,2,13,1,2,2,0,no
290,13,25,59,248,0.875,1,1,no
40,5,3,12,3,2,2,0,no
30,4,3,6,0,0,2,0,no
122,11,7,28,0,0.25,3,0,no
27,4,3,9,3,2,4,0,no
2064,2,1,1,0,2,1,0,no
95,6,8,26,22,0.571429,4,0,no
341,8,12,34,26,0.651515,1,0,no
86,5,7,16,0,0.5,1,0,no
58,3,2,15,1,2,3,0,no
1,26,1,1,0,2,1,0,no
575,14,21,47,124,0.7,1,2,no
48,6,5,12,2,0.625,3,3,no
331,8,13,37,60,0.833333,2,0,no
94,5,6,25,15,2,4,0,no
0,4,0,0,0,2,1,0,no
94,6,5,17,6,0.75,4,0,no
182,12,3,38,3,1.5,1,0,no
559,21,39,94,461,0.786842,1,0,no
162,4,4,20,0,0.777778,4,0,no
263,7,20,42,148,0.91866,4,0,no
4,1,1,2,0,2,4,0,no
103,63,9,15,14,0.4375,1,1,no
212,6,10,29,0,0.688889,5,0,no
104,8,6,21,0,0.6,5,0,no
129,2,10,20,21,0.6,3,0,no
62,18,5,12,10,2,3,9,no
20,2,2,4,1,2,4,0,no
126,4,7,18,0,0.708333,5,0,no
346,8,2,34,1,2,2,0,no
3,69,3,3,3,2,1,0,no
74,1,6,12,15,2,5,0,no
1220,15,33,130,434,0.940848,2,0,no
90,4,5,15,4,0.75,3,0,no
111,11,3,28,3,1.5,1,0,no
73,2,2,15,1,2,2,0,no
7,1,1,3,0,2,5,0,no
164,6,4,29,6,1.166667,4,0,no
502,2,4,7,4,0.666667,1,1,no
269,12,13,37,56,0.770833,1,2,no
84,3,4,11,0,0,4,0,no
8,5,3,3,3,1.5,1,0,no
83,3,3,19,3,2,4,0,no
1,4,1,1,0,2,1,0,no
36,5,4,10,0,0.333333,1,0,no
106,3,6,20,15,2,4,0,no
27,5,4,9,0,0.333333,2,0,no
24,24,24,24,276,2,1,0,no
161,3,15,29,55,0.696429,1,0,no
69,9,5,13,0,0,1,0,no
120,2,3,21,1,0.5,1,0,no
419,10,14,53,0,0.423077,1,0,no
392,7,26,50,271,0.955789,4,0,no
5,7,5,5,10,2,1,0,no
241,7,17,39,100,0.9375,4,0,no
224,4,11,29,17,0.771429,3,0,no
133,6,8,24,0,0.52381,1,0,no
77,8,5,16,8,0.875,2,0,no
51,2,6,11,3,0.6,1,0,no
328,5,10,30,0,0.688889,5,0,no
115,3,4,26,0,1,2,0,no
199,9,13,34,68,0.75,5,0,no
251,1,3,17,0,0.96875,2,0,no
58,1,3,7,0,0,1,0,no
195,9,6,16,11,0.95,2,0,no
189,24,13,45,46,1.020833,3,13,no
184,7,13,37,66,0.875,4,0,no
133,7,8,25,12,0.880952,3,0,no
156,6,3,17,0,1.142857,1,0,no
34,4,4,7,0,0,4,0,no
125,5,20,21,130,0.852632,1,0,no
463,29,16,40,72,0.929167,1,0,no
15,0,1,2,0,2,1,0,no
1,7,1,1,0,2,1,0,no
271,1,8,14,28,2,1,0,no
7,1,0,0,0,2,1,0,no
74,6,5,10,0,0.9,1,0,no
192,13,12,32,0,0.454545,3,0,no
27,3,3,7,0,0,5,0,no
22,2,2,9,1,2,4,0,no
25,2,3,11,3,2,3,0,no
156,5,9,20,28,0.78125,4,0,no
269,5,26,42,233,0.8,6,0,no
191,7,7,28,0,0.666667,3,0,no
1,4,1,1,0,2,1,0,no
24,3,5,6,6,0.75,1,0,no
135,5,6,27,3,0.4,3,0,no
82,5,5,16,0,0.5,3,0,no
377,13,8,57,4,0.909091,3,0,no
7,2,7,7,21,2,1,0,no
274,10,21,42,126,0.7875,6,1,no
1230,12,28,97,302,0.962963,2,0,no
25,1,0,0,0,2,1,0,no
44,5,3,12,3,2,2,0,no
55,4,3,10,0,0,4,0,no
615,10,14,90,63,0.923077,3,0,no
105,4,4,15,0,0.666667,2,0,no
104,5,6,21,3,0.75,3,0,no
1,3,1,1,0,2,1,0,no
182,6,2,30,0,0,1,0,no
124,14,7,24,11,1.083333,1,7,no
68,2,4,12,0,0.222222,2,0,no
122,6,8,15,6,0.742857,2,0,no
359,5,10,45,21,0.740741,3,0,no
4,5,4,4,6,2,1,0,no
43,1,6,8,0,0,1,0,no
292,7,13,40,58,0.833333,1,0,no
70,4,6,15,3,0.75,1,0,no
285,7,20,39,148,0.923077,4,0,no
20,1,2,6,1,2,2,0,no
466,16,31,79,365,0.905556,3,0,no
12,3,2,5,1,2,4,0,no
231,7,12,37,44,0.80303,2,0,no
214,5,8,30,8,0.714286,3,0,no
82,3,3,20,3,2,4,0,no
230,4,14,43,81,0.857143,1,0,no
94,8,11,27,21,0.733333,2,1,no
25,8,3,6,1,0.5,3,2,no
74,3,6,11,1,0.7,1,0,no
185,9,5,10,6,0.9,2,2,no
56,13,4,14,6,1,1,0,no
1,3,1,1,0,2,1,0,no
108,4,7,21,3,0.666667,2,0,no
1,2,1,1,0,2,1,0,no
165,13,16,31,76,0.791667,1,0,no
282,6,12,30,30,0.781818,3,0,no
24,4,4,5,0,0.333333,1,0,no
372,7,14,46,27,0.837607,3,0,no
26,1,0,0,0,2,1,0,no
278,3,7,30,9,1.0625,2,0,no
131,4,6,17,0,0.64,3,0,no
107,4,7,17,0,0.777778,5,0,no
4,1,1,2,0,2,5,0,no
261,19,12,33,66,1.045455,1,0,no
274,5,8,39,4,0.714286,4,0,no
625,14,22,62,133,0.571429,3,0,no
51,8,4,10,0,0,1,1,no
315,18,15,66,77,0.877551,2,0,no
1,5,1,1,0,2,1,0,no
198,13,7,26,0,0.458333,4,0,no
44,3,3,10,0,0,2,0,no
615,5,31,70,407,0.904762,1,0,no
25,2,3,11,3,2,3,0,no
85,4,4,13,0,0.333333,2,0,no
29,5,4,7,0,0,5,0,no
56,3,6,11,0,0.5,1,0,no
64,3,5,9,0,0.666667,1,0,no
3,7,3,3,3,2,1,0,no
75,67,10,14,35,0.740741,1,28,no
172,5,8,26,0,0.571429,5,0,no
249,4,23,42,185,0.811688,6,0,no
1,9,1,1,0,2,1,0,no
0,3,0,0,0,2,1,0,no
136,8,8,15,20,0.914286,2,1,no
71,5,5,21,10,2,4,0,no
44,8,4,13,6,2,6,0,no
202,3,3,31,3,2,2,0,no
376,7,31,51,381,0.919048,5,0,no
76,10,3,12,1,2,5,0,no
45,1,3,5,0,0,1,0,no
265,8,11,49,21,0.55,5,0,no
56,4,7,14,15,0.833333,4,0,no
1,4,1,1,0,2,1,0,no
22,1,3,6,1,0,1,1,no
1254,3,6,32,0,0.6,3,0,no
101,3,5,8,8,0.958333,2,2,no
322,6,18,55,79,0.890756,3,0,no
12,2,2,4,1,2,4,0,no
610,21,24,96,246,0.722826,3,0,no
75,7,9,20,12,0.75,3,0,no
373,2,7,24,19,0.666667,1,0,no
178,7,11,33,37,0.9,4,0,no
345,3,17,58,108,0.95625,4,0,no
307,7,22,45,183,0.94958,4,0,no
110,10,8,15,0,0.595238,3,0,no
156,5,9,24,4,0.416667,1,0,no
260,9,11,38,29,0.888889,3,0,no
149,8,2,26,1,2,2,0,no
123,7,6,31,3,0.7,2,0,no
703,5,20,54,138,0.789474,1,0,no
152,5,8,25,16,0.761905,3,0,no
234,7,16,38,84,0.94359,4,0,no
312,27,15,41,57,0.818182,3,15,no
240,15,12,47,44,0.781818,3,0,no
5,11,5,5,10,2,1,0,no
2,6,2,2,1,2,1,0,no
152,8,4,26,6,2,1,1,no
11,1,1,4,0,2,5,0,no
1,36,1,1,0,2,1,0,no
52,4,4,16,0,0.333333,6,0,no
81,1,5,9,10,0.75,4,0,no
1,3,1,1,0,2,1,0,no
1,4,1,1,0,2,1,0,no
4,6,4,4,6,2,1,0,no
121,1,3,23,1,0.666667,1,0,no
25,3,2,7,1,2,3,0,no
20,2,4,7,6,2,1,0,no
89,4,3,19,1,0.5,1,0,no
47,1,2,11,0,0,1,0,no
167,11,8,33,4,0.771429,3,0,no
25,2,3,11,3,2,3,0,no
3,38,3,3,3,2,1,0,no
134,6,5,17,0,0.55,4,0,no
9,2,2,4,1,2,4,0,no
468,9,14,52,15,0.730769,3,0,no
12,1,3,5,3,2,2,0,no
5,6,1,2,0,2,3,0,no
141,17,9,23,0,0.5,1,0,no
70,4,6,12,0,0,2,0,no
2,20,2,2,1,2,1,0,no
333,8,22,46,189,0.919414,4,0,no
119,7,4,18,6,2,2,0,no
34,3,7,8,15,0.833333,5,0,no
12,2,2,3,0,0,1,0,no
185,8,17,41,104,0.8125,4,0,no
319,19,19,41,23,0.688889,4,0,no
146,2,12,21,42,0.654545,1,0,no
202,6,15,43,95,0.946429,2,0,no
1,2,1,1,0,2,1,0,no
58,3,6,14,0,0,1,0,no
3,3,3,3,3,2,1,0,no
189,35,25,39,0,0,3,1,no
5,1,1,2,0,2,3,0,no
1,4,1,1,0,2,1,0,no
80,6,2,20,1,2,2,0,no
55,3,7,16,13,0.75,3,0,no
96,6,4,14,0,0,2,0,no
55,4,3,10,0,0,4,0,no
92,6,7,28,21,2,4,0,no
1,4,1,1,0,2,1,0,no
1095,70,33,121,440,0.860119,1,0,no
796,18,29,96,294,0.897619,3,1,no
163,6,7,31,0,0.25,5,0,no
7,2,2,3,1,2,3,0,no
217,6,11,35,9,0.7,4,0,no
22,2,0,0,0,2,1,0,no
17,1,2,5,1,2,3,0,no
48,4,4,10,2,0.666667,3,0,no
323,7,9,37,10,0.929688,4,0,no
122,8,11,38,55,2,4,0,no
211,5,6,26,15,2,1,0,no
108,7,2,17,1,2,3,0,no
217,4,9,28,12,0.5,5,0,no
178,7,5,31,4,0.75,3,0,no
298,4,13,22,56,0.94697,4,0,no
10,1,2,5,1,2,4,0,no
194,4,8,18,2,0.690476,2,1,no
190,8,8,32,0,0.77551,3,0,no
534,16,38,68,601,0.928458,3,4,no
72,5,7,12,11,0.666667,1,0,no
18,1,1,8,0,2,5,0,no
2,6,2,2,1,2,1,0,no
24,2,5,9,10,2,5,0,no
221,7,10,32,0,0.688889,5,0,no
67,64,6,17,15,2,4,5,no
100,6,4,18,0,0.333333,1,0,no
148,4,5,18,0,0.5,3,0,no
10,5,10,10,45,2,1,0,no
68,3,4,14,6,2,4,0,no
26,3,4,7,0,0,3,0,no
11,4,3,5,3,2,2,1,no
135,4,6,24,1,0.7,3,0,no
261,7,6,28,9,0.85,3,0,no
182,6,8,36,18,1,3,0,no
88,4,9,19,14,0.65625,1,0,no
123,7,9,21,16,0.85,1,0,no
586,9,9,61,14,0.770833,4,0,no
860,13,28,85,248,0.876543,3,0,no
145,10,3,23,3,2,2,0,no
33,3,3,9,3,2,4,0,no
98,5,6,22,7,0.866667,3,0,no
0,4,0,0,0,2,1,0,no
345,8,9,38,14,0.875,3,0,no
109,7,5,27,4,0.916667,4,0,no
173,6,12,45,66,2,4,0,no
1,3,1,1,0,2,1,0,no
369,10,13,36,20,0.716667,3,0,no
50,6,3,15,3,2,2,0,no
129,6,10,26,41,0.833333,1,1,no
43,6,7,8,3,0.666667,1,1,no
198,27,25,38,0,0.666667,2,7,no
399,4,26,34,203,0.88,4,0,no
377,7,20,52,154,0.942982,4,0,no
74,2,2,9,0,0,1,0,no
