@relation ant-1.7_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {no,yes}

@data
18,106,3,9,1,3,0,no
13,76,5,4,4,0,1,no
3,7,1,1,1,0,0,no
20,101,8,4,8,12,1,no
4,16,3,1,2,1,0,no
28,183,13,5,12,20,2,no
19,119,9,1,9,8,0,no
25,255,7,3,7,0,0,no
17,71,9,5,6,26,0,no
10,38,3,5,3,3,0,no
1,1,1,2,1,0,0,no
12,54,9,2,8,20,3,no
40,252,19,7,16,129,0,no
26,110,10,7,9,0,1,no
5,34,3,1,3,0,1,no
79,835,20,5,10,136,1,no
6,6,6,1,6,15,0,no
14,70,5,7,4,6,0,no
1,1,1,1,1,0,0,no
26,181,11,2,11,0,0,no
15,51,3,5,2,3,0,no
7,29,3,4,3,1,0,no
5,18,4,4,3,0,1,no
65,443,15,11,11,75,0,no
24,309,11,3,10,17,0,no
3,7,2,0,2,1,0,no
41,204,15,9,15,0,1,no
29,108,14,8,11,85,1,no
23,249,5,8,5,4,0,no
3,4,3,0,3,3,0,no
19,57,4,5,4,6,0,no
11,53,6,1,4,3,0,no
106,1133,55,12,9,1313,2,no
19,136,3,4,2,3,0,no
22,169,8,4,6,0,0,no
23,136,11,0,10,39,0,no
29,91,10,3,8,43,1,no
2,4,1,1,1,0,0,no
22,72,3,10,2,3,0,no
36,281,9,0,7,36,0,no
8,43,7,0,7,3,0,no
19,130,9,3,7,30,0,no
13,56,6,3,3,7,1,no
2,2,2,0,2,1,0,no
47,365,22,5,19,159,1,no
30,245,10,2,5,27,1,no
44,271,22,6,7,183,1,no
4,19,2,2,1,1,0,no
6,16,3,2,2,3,0,no
16,76,4,3,4,2,0,no
26,76,11,8,11,0,1,no
16,105,5,3,3,0,1,no
41,241,5,2,4,10,0,no
26,218,7,2,7,0,0,no
33,157,4,5,2,0,1,no
26,141,5,6,4,0,0,no
10,67,3,1,1,0,1,no
10,52,6,3,6,0,1,no
15,77,4,2,4,0,0,no
6,19,4,2,4,0,0,no
32,145,9,3,0,34,1,no
31,329,8,5,8,0,1,no
83,566,15,14,8,47,1,no
1,1,1,1,1,0,0,no
67,878,17,1,13,90,1,no
50,250,24,5,20,270,1,no
20,106,4,4,4,0,1,no
32,166,10,6,10,15,1,no
1,1,1,1,1,0,0,no
36,249,10,9,10,3,2,no
41,240,11,9,9,19,0,no
22,156,12,2,5,44,1,no
8,33,2,3,2,1,0,no
38,258,7,4,3,0,1,no
4,4,4,1,4,6,0,no
8,42,4,3,3,4,1,no
55,361,21,5,18,162,1,no
12,55,4,3,3,0,0,no
75,455,12,11,7,44,0,no
6,10,6,1,6,15,0,no
14,52,3,2,3,3,0,no
27,115,7,4,7,0,0,no
39,605,11,2,10,7,1,no
81,654,17,1,9,100,0,no
14,103,2,5,2,0,1,no
44,311,15,10,13,45,3,no
66,375,29,8,19,346,3,no
13,45,4,1,4,6,0,no
23,148,7,8,6,5,2,no
84,1034,19,8,14,103,1,no
2,5,1,1,1,0,0,no
23,197,8,4,8,0,0,no
34,286,15,5,11,75,0,no
22,163,6,5,3,15,0,no
18,111,4,3,3,4,0,no
8,48,2,1,2,1,0,no
0,48,0,0,0,0,0,no
43,309,24,7,20,222,0,no
4,14,3,0,3,1,0,no
7,161,4,2,4,0,0,no
7,40,1,1,1,0,0,no
10,125,4,2,4,0,0,no
18,204,3,1,3,0,0,no
7,22,4,3,3,4,1,no
24,143,8,7,6,8,3,no
19,159,9,3,6,10,1,no
9,27,3,3,3,3,0,no
80,678,22,13,17,59,1,no
38,202,11,6,6,45,0,no
13,87,4,3,4,0,0,no
42,234,12,1,12,0,0,no
7,39,5,0,0,4,0,no
52,213,12,9,10,60,0,no
5,5,5,0,5,10,0,no
69,517,19,12,14,81,4,no
15,49,4,1,1,6,0,no
3,6,1,0,1,0,0,no
4,20,2,2,1,1,0,no
13,76,3,1,3,1,1,no
26,106,7,9,4,9,0,no
1,2,1,0,1,0,0,no
33,205,6,9,6,0,1,no
15,97,11,3,11,13,3,no
13,48,2,2,2,1,0,no
59,290,25,4,20,248,1,no
12,40,3,4,1,3,0,no
6,30,3,3,3,0,0,no
28,122,7,9,7,0,0,no
9,27,3,3,3,3,0,no
1,2064,1,0,0,0,0,no
26,95,8,6,6,22,0,no
34,341,12,3,6,26,0,no
16,86,7,5,6,0,0,no
15,58,2,3,0,1,0,no
1,1,1,1,1,0,0,no
47,575,21,4,18,124,0,no
12,48,5,2,5,2,0,no
37,331,13,8,7,60,0,no
25,94,6,5,5,15,0,no
0,0,0,2,0,0,0,no
17,94,5,6,5,6,0,no
38,182,3,11,2,3,0,no
94,559,39,11,33,461,6,no
20,162,4,3,4,0,0,no
42,263,20,7,15,148,0,no
2,4,1,1,1,0,0,no
15,103,9,2,9,14,1,no
29,212,10,5,7,0,0,no
21,104,6,3,6,0,0,no
20,129,10,2,9,21,0,no
12,62,5,2,4,10,0,no
4,20,2,2,1,1,0,no
18,126,7,3,5,0,0,no
34,346,2,7,2,1,0,no
3,3,3,0,3,3,0,no
12,74,6,0,6,15,0,no
130,1220,33,14,23,434,2,no
15,90,5,4,5,4,0,no
28,111,3,10,2,3,0,no
15,73,2,2,2,1,0,no
3,7,1,1,1,0,0,no
29,164,4,6,1,6,0,no
7,502,4,0,3,4,0,no
37,269,13,10,4,56,2,no
11,84,4,3,4,0,0,no
3,8,3,2,3,3,0,no
19,83,3,3,1,3,0,no
1,1,1,0,1,0,0,no
10,36,4,4,4,0,0,no
20,106,6,3,5,15,0,no
9,27,4,1,4,0,0,no
24,24,24,20,24,276,0,no
29,161,15,0,15,55,1,no
13,69,5,1,5,0,0,no
21,120,3,2,2,1,0,no
53,419,14,8,14,0,0,no
50,392,26,7,20,271,0,no
5,5,5,1,5,10,0,no
39,241,17,7,14,100,0,no
29,224,11,4,8,17,1,no
24,133,8,5,6,0,0,no
16,77,5,7,1,8,0,no
11,51,6,1,6,3,0,no
30,328,10,4,6,0,1,no
26,115,4,3,1,0,0,no
34,199,13,4,12,68,0,no
17,251,3,1,1,0,0,no
7,58,3,0,3,0,0,no
16,195,6,8,5,11,11,no
45,189,13,11,9,46,0,no
37,184,13,7,9,66,0,no
25,133,8,7,8,12,2,no
17,156,3,5,2,0,1,no
7,34,4,4,3,0,0,no
21,125,20,2,20,130,0,no
40,463,16,2,11,72,1,no
2,15,1,0,1,0,0,no
1,1,1,3,1,0,0,no
14,271,8,0,8,28,0,no
0,7,0,0,0,0,0,no
10,74,5,4,4,0,3,no
32,192,12,7,10,0,0,no
7,27,3,0,3,0,0,no
9,22,2,2,2,1,0,no
11,25,3,1,3,3,0,no
20,156,9,5,9,28,0,no
42,269,26,5,19,233,0,no
28,191,7,7,6,0,1,no
1,1,1,1,1,0,0,no
6,24,5,0,5,6,0,no
27,135,6,5,4,3,0,no
16,82,5,5,5,0,2,no
57,377,8,13,7,4,1,no
7,7,7,0,7,21,0,no
42,274,21,8,15,126,0,no
97,1230,28,11,16,302,0,no
0,25,0,0,0,0,0,no
12,44,3,4,2,3,0,no
10,55,3,4,3,0,0,no
90,615,14,10,9,63,0,no
15,105,4,3,4,0,0,no
21,104,6,5,5,3,1,no
1,1,1,1,1,0,0,no
30,182,2,6,0,0,2,no
24,124,7,12,7,11,0,no
12,68,4,1,3,0,1,no
15,122,8,6,8,6,1,no
45,359,10,5,7,21,0,no
4,4,4,3,4,6,0,no
8,43,6,1,6,0,1,no
40,292,13,7,11,58,0,no
15,70,6,3,5,3,1,no
39,285,20,7,16,148,0,no
6,20,2,1,1,1,0,no
79,466,31,14,29,365,3,no
5,12,2,3,2,1,0,no
37,231,12,7,9,44,2,no
30,214,8,5,7,8,1,no
20,82,3,3,1,3,0,no
43,230,14,3,11,81,0,no
27,94,11,7,9,21,1,no
6,25,3,1,3,1,0,no
11,74,6,2,6,1,0,no
10,185,5,2,4,6,6,no
