@relation ivy-2.0

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {yes,no}

@data
67,653,23,5,20,235,1,yes
73,666,25,0,18,200,0,yes
103,824,35,0,28,429,1,yes
190,1443,74,30,72,2181,8,yes
64,411,15,0,14,57,0,yes
44,305,5,7,5,0,2,yes
35,303,8,1,4,20,0,yes
62,491,10,0,5,11,1,yes
6,36,5,1,5,2,0,yes
104,733,29,20,22,236,0,yes
11,11,11,8,11,55,0,yes
24,107,11,4,10,17,0,yes
8,8,8,14,8,28,0,yes
61,544,8,7,6,28,0,yes
72,719,28,10,18,118,0,yes
4,4,4,0,4,6,0,yes
27,175,16,0,16,68,0,yes
109,719,48,15,39,118,5,yes
24,124,12,0,12,30,0,yes
22,84,6,3,4,0,2,yes
148,1407,13,0,1,78,0,yes
52,360,11,0,5,37,1,yes
277,2591,33,48,20,194,4,yes
143,1648,22,20,5,0,2,yes
44,279,11,3,8,49,0,yes
29,186,19,3,19,107,3,yes
123,1167,55,15,41,1255,6,yes
44,348,7,7,4,19,0,yes
82,926,28,7,24,374,0,yes
42,329,19,7,3,99,1,yes
120,1123,37,26,24,570,0,yes
39,178,9,13,5,34,1,yes
242,2550,57,54,27,1504,3,yes
104,839,38,0,29,613,1,yes
64,444,12,10,7,0,1,yes
131,810,65,37,39,2010,5,yes
104,955,8,29,3,8,2,yes
243,2480,77,49,49,2706,4,yes
293,2894,99,42,73,3615,9,yes
116,1109,29,38,22,90,5,yes
7,36,6,1,4,3,0,no
6,21,4,4,2,4,1,no
4,4,4,0,4,6,0,no
1,1,1,2,1,0,0,no
26,127,5,7,4,0,2,no
13,86,7,1,7,0,0,no
22,141,21,2,21,154,2,no
4,11,2,1,2,1,0,no
21,130,8,5,7,28,0,no
81,504,32,0,27,406,0,no
44,208,13,2,9,70,0,no
21,144,2,3,1,1,0,no
1,1,1,2,1,0,0,no
58,257,25,4,23,234,1,no
29,126,8,5,8,0,1,no
11,41,5,2,5,0,1,no
8,34,3,0,3,3,0,no
10,27,4,5,1,4,1,no
6,32,5,1,5,0,1,no
3,8,2,1,1,1,1,no
1,1,1,1,1,0,0,no
19,138,10,2,10,15,1,no
25,67,12,0,12,66,0,no
21,75,5,3,5,0,0,no
137,1589,54,0,16,1241,1,no
9,61,5,3,5,2,0,no
15,67,10,6,8,29,1,no
32,221,8,6,4,20,0,no
5,19,2,2,1,0,1,no
29,188,20,3,20,108,1,no
4,16,3,1,2,1,0,no
23,125,3,8,2,0,2,no
52,336,8,0,5,16,1,no
20,110,7,4,5,9,0,no
38,159,3,0,1,3,0,no
24,88,5,0,5,2,0,no
71,476,9,20,5,36,0,no
123,1851,16,23,2,120,0,no
22,100,4,2,3,6,0,no
74,608,23,9,14,189,0,no
34,288,7,6,2,15,1,no
38,207,10,0,9,3,0,no
19,57,3,3,3,0,0,no
1,1,1,2,1,0,0,no
25,215,11,1,7,23,0,no
