@relation jedit-4.3_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug2 {no,yes}

@data
16,113,2,9,2,1,0,no
8,82,4,0,4,4,0,no
36,464,6,4,1,1,0,no
29,213,4,1,3,6,0,no
6,26,5,5,5,10,0,no
13,34,5,10,5,10,1,no
125,1243,51,17,41,1041,6,no
11,53,2,6,1,1,0,no
269,2699,89,43,66,3550,2,no
7,32,2,6,1,1,0,no
15,54,4,1,3,0,0,no
14,50,9,2,8,28,1,no
26,173,11,0,11,55,0,no
15,62,7,4,7,1,0,no
8,8,8,0,8,28,0,no
9,49,4,0,3,0,0,no
56,601,9,11,3,24,3,no
36,84,18,5,18,153,0,no
3,3,3,3,3,3,0,no
114,2003,22,33,6,219,5,no
5,5,5,1,5,10,0,no
12,37,4,2,4,0,0,no
6,26,4,3,4,2,0,no
17,160,8,0,4,22,0,no
2,16,1,2,1,0,1,no
6,12,5,2,5,10,0,no
25,301,5,3,4,2,0,no
116,962,43,23,35,805,0,no
4,14,2,1,1,1,0,no
4,23,3,0,3,3,2,no
22,105,4,2,2,6,0,no
27,709,17,4,15,10,1,no
20,120,6,3,4,0,1,no
156,1888,75,20,49,2419,5,no
57,438,5,9,2,0,1,no
163,1844,59,23,47,1389,5,no
73,828,7,16,2,1,0,no
43,405,4,10,2,4,0,no
13,13,13,0,13,78,0,no
63,721,14,6,1,0,1,no
105,590,17,25,2,100,3,no
54,318,4,7,3,4,0,no
60,496,25,6,19,62,1,no
56,401,19,17,7,157,2,no
47,322,22,9,18,231,1,no
67,529,33,10,31,444,0,no
55,485,16,2,8,58,1,no
5,15,4,2,3,6,1,no
35,281,13,2,9,6,0,no
4,16,3,3,2,3,2,no
41,220,7,5,6,21,0,no
7,79,2,9,1,1,0,no
10,23,1,10,1,0,0,no
3,12,2,2,2,0,1,no
24,148,2,2,0,0,1,no
35,221,5,11,1,6,0,no
2,2,2,0,2,1,0,no
31,121,8,5,1,20,1,no
10,128,5,6,3,2,0,no
99,596,21,19,5,130,3,no
43,378,8,11,7,14,1,no
37,218,10,2,9,45,0,no
72,525,12,5,11,0,1,no
20,115,13,1,9,30,0,no
52,411,22,6,19,201,1,no
67,411,21,18,18,0,1,no
22,155,5,6,2,4,0,no
4,55,2,0,2,1,0,no
8,239,4,3,1,2,3,no
3,3,3,0,3,3,0,no
55,388,8,9,4,12,0,no
2,2,2,1,2,1,0,no
44,421,10,3,10,23,1,no
22,119,4,13,1,6,0,no
3,3,3,0,3,3,0,no
82,2224,17,3,13,106,0,no
16,113,6,11,2,15,1,no
13,104,9,0,8,0,0,no
5,5,5,1,5,10,0,no
16,88,8,6,7,12,0,no
