@relation lucene-2.4

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug2 {yes,no}

@data
38,287,10,4,9,0,0,no
7,26,4,2,1,6,0,no
6,8,5,3,0,10,0,no
36,191,13,7,13,58,2,no
8,8,8,2,8,28,0,no
7,125,3,1,3,0,1,no
19,65,8,1,8,0,1,no
7,9,6,3,0,15,0,no
8,10,7,3,0,21,0,no
6,100,5,0,0,0,0,no
16,66,2,5,1,0,1,no
2,5,1,0,1,0,0,no
33,453,12,9,5,34,0,no
6,15,4,3,3,6,2,no
6,8,5,4,2,10,0,no
14,74,4,3,2,4,0,no
20,191,7,8,3,5,4,no
6,18,3,4,3,3,0,no
2,11,1,3,0,0,1,no
39,432,18,3,17,0,2,no
12,95,5,1,0,0,2,no
1,1,1,1,1,0,0,no
51,414,9,6,5,14,2,no
12,173,6,11,6,1,6,no
5,31,2,5,2,0,4,no
37,281,11,10,6,3,3,no
6,8,5,3,0,10,0,no
4,6,3,2,1,3,0,no
30,136,7,13,4,0,2,no
6,44,3,3,3,0,3,no
3,7,2,2,2,1,0,no
33,478,17,1,10,42,0,no
8,90,5,0,3,8,0,no
19,100,5,2,5,0,0,no
4,6,3,1,0,3,0,no
5,65,4,3,3,0,1,no
22,447,13,3,10,38,1,no
30,303,10,6,6,0,3,no
8,15,7,4,0,21,1,no
12,185,10,1,8,17,0,no
10,298,4,0,0,4,0,no
2,2,2,0,2,1,0,no
4,9,2,1,1,1,0,no
21,167,9,12,5,24,6,no
6,8,5,2,0,10,0,no
35,729,25,2,10,196,0,no
25,98,11,1,11,0,1,no
4,6,3,1,0,3,0,no
23,143,10,2,8,0,0,no
7,37,2,1,2,1,0,no
8,27,3,0,1,3,0,no
2,8,1,0,0,0,0,no
19,116,8,3,6,2,2,no
18,88,6,0,1,5,0,no
7,20,3,4,3,3,0,no
12,69,6,3,6,3,0,no
10,155,7,0,7,21,0,no
32,346,7,2,6,1,0,no
24,723,14,13,12,69,0,no
22,172,2,6,2,1,0,no
8,30,6,8,1,15,2,no
7,28,3,2,3,3,0,no
2,18,1,1,0,0,3,no
4,33,2,2,2,0,0,no
12,387,6,1,5,0,1,no
25,165,3,0,2,3,0,no
15,240,8,1,6,4,1,no
40,267,16,7,16,70,2,no
52,584,13,14,5,0,5,no
15,110,6,3,6,11,0,no
66,1164,23,9,2,99,4,no
22,135,13,1,10,32,1,no
15,708,5,3,3,2,0,no
5,33,2,2,1,0,0,no
17,133,11,1,0,19,1,no
6,15,5,1,4,10,0,no
2,5,1,0,1,0,0,no
22,481,10,3,1,0,1,no
9,16,8,5,0,28,1,no
14,103,9,2,6,8,2,no
25,378,5,3,0,0,1,no
25,364,13,11,3,46,5,no
9,18,7,1,6,21,0,no
15,133,4,4,2,4,0,no
9,47,3,3,0,3,0,no
22,227,14,1,14,0,0,no
7,36,3,3,3,0,1,no
7,28,5,8,3,10,2,no
47,1605,20,16,7,0,11,no
2,5,1,0,1,0,0,no
46,409,9,12,3,32,1,no
10,182,4,2,0,0,2,no
15,48,8,2,7,8,0,no
17,71,5,7,5,0,1,no
19,188,5,3,5,2,0,no
21,90,7,6,5,0,0,no
10,83,4,2,4,0,0,no
44,1158,27,0,13,13,0,no
4,4,4,1,4,6,0,no
2,2,2,1,2,1,0,no
21,97,7,6,5,0,0,no
18,78,4,4,2,2,1,no
15,158,8,2,0,0,0,no
39,394,13,7,4,0,6,no
7,9,6,4,0,15,0,no
7,123,4,5,3,0,1,no
1,179,1,0,0,0,0,no
8,15,7,4,0,21,1,no
3,5,2,3,2,1,0,no
7,106,3,1,3,0,1,no
18,104,10,2,10,0,2,no
3,3,3,0,3,3,0,no
12,82,5,1,5,0,0,no
7,24,5,3,4,6,2,no
15,133,8,1,7,0,0,no
7,12,6,2,6,15,0,no
12,79,4,3,2,2,0,no
4,6,3,0,0,3,0,no
16,238,5,9,2,0,6,no
14,145,5,1,4,4,1,no
8,28,7,1,5,17,0,no
6,62,3,0,2,3,0,no
6,35,5,1,5,0,1,no
17,236,8,2,6,0,1,no
2,5,1,0,1,0,0,no
19,146,7,9,5,0,4,no
4,51,2,2,0,1,0,no
33,332,16,2,11,26,1,no
2,5,1,0,1,0,0,no
8,20,4,0,4,6,0,no
10,60,5,2,4,0,1,no
6,8,5,4,0,10,0,no
12,58,4,4,2,2,1,no
2,2,2,2,2,1,0,no
25,237,14,1,13,3,0,no
10,54,7,1,7,21,0,no
37,276,10,18,4,7,8,no
18,84,5,15,4,0,7,yes
61,553,13,9,0,0,3,yes
25,91,6,10,6,0,3,yes
17,90,6,2,6,0,1,yes
