@relation poi-3.0_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug2 {yes,no}

@data
13,40,5,2,4,10,0,no
13,59,9,3,9,36,0,no
2,6,1,0,0,0,0,no
9,31,6,3,5,15,0,no
56,923,6,46,6,15,0,no
52,416,16,3,14,82,0,no
9,31,6,3,5,15,0,no
16,66,8,0,8,22,0,no
7,29,5,0,5,4,0,no
17,116,4,5,3,0,0,no
13,60,9,3,9,36,0,no
16,50,5,4,5,10,0,no
21,112,3,2,2,3,0,no
6,16,4,2,3,6,0,no
1,1,1,1,1,0,0,no
13,83,10,3,9,3,0,no
30,207,6,22,3,15,0,no
8,32,7,3,7,21,0,no
8,20,4,1,4,6,0,no
17,116,7,3,6,0,0,no
43,416,9,11,6,28,0,no
16,145,6,6,4,1,2,no
17,52,5,2,4,10,0,no
10,244,3,0,3,3,0,no
2,6,1,1,1,0,0,no
8,20,4,1,4,6,0,no
22,163,6,3,0,0,0,no
21,92,11,3,11,9,0,no
13,40,5,2,4,10,0,no
10,31,6,3,5,15,0,no
6,43,5,1,5,0,2,no
9,31,6,3,5,15,0,no
2,4,1,0,0,0,0,no
8,32,1,3,1,0,0,no
0,7,0,0,0,0,0,no
9,9,9,4,9,36,0,no
17,55,9,7,6,30,1,no
16,83,4,11,4,6,0,no
10,10,10,0,10,45,0,no
8,59,7,0,7,9,0,no
4,12,2,2,2,1,0,no
13,58,9,3,9,36,0,no
8,20,4,1,4,6,0,no
21,92,11,3,11,9,0,no
7,46,2,3,2,0,1,no
15,56,2,3,2,1,0,no
13,64,9,3,9,36,0,no
7,29,5,0,5,4,0,no
0,0,0,0,0,0,0,no
15,86,5,1,3,0,0,no
16,798,4,0,3,2,0,no
14,59,10,3,10,45,0,no
2,2,2,0,2,1,0,no
1,1,1,1,1,0,0,no
6,15,4,1,1,6,0,no
1,1,1,0,1,0,0,no
13,62,9,3,9,36,0,no
17,85,11,3,11,9,0,no
9,86,3,0,3,0,0,no
14,63,10,3,10,45,0,no
4,4,4,0,4,6,0,no
16,82,4,6,4,4,0,no
26,174,13,8,13,4,0,no
27,264,6,0,5,15,0,no
20,143,8,5,7,4,0,no
9,33,2,3,2,1,0,no
1,1,1,1,1,0,0,no
19,170,18,0,18,107,0,no
19,86,10,0,10,0,0,no
0,4,0,0,0,0,0,no
8,20,4,1,4,6,0,no
8,20,4,1,4,6,0,no
13,58,9,3,9,36,0,no
2,4,1,1,1,0,0,no
8,20,4,1,4,6,0,no
67,991,25,3,22,0,0,no
12,32,5,4,5,10,0,no
23,271,13,3,11,0,1,no
12,42,5,3,5,10,0,no
4,12,2,2,2,1,0,no
9,73,8,2,6,14,0,no
20,154,8,3,7,0,0,no
34,194,6,3,5,13,0,no
6,16,4,2,3,6,0,no
182,2891,85,0,85,0,0,no
17,172,16,1,16,78,0,no
9,31,6,3,5,15,0,no
19,324,8,6,6,0,6,no
8,32,3,0,3,0,0,no
15,90,11,3,11,21,0,no
5,88,2,2,2,0,0,no
22,124,12,3,10,52,0,no
4,4,4,0,4,6,0,no
6,16,3,0,3,3,0,no
14,67,6,4,6,15,0,no
20,294,9,0,9,0,0,no
24,190,9,6,8,2,1,no
6,6,6,1,6,15,0,no
6,32,3,3,3,1,1,no
2,6,1,1,1,0,0,no
29,242,8,3,4,0,1,no
16,95,11,4,11,55,0,no
2,5,1,0,1,0,0,no
2,58,1,0,1,0,0,no
19,223,10,3,8,5,0,no
13,62,9,3,9,36,0,no
24,146,4,1,2,4,0,no
21,107,11,5,9,35,0,no
14,48,7,2,5,9,1,no
78,234,39,1,38,0,1,no
0,5,0,0,0,0,0,no
9,31,6,3,5,15,0,no
6,13,5,1,5,10,0,no
4,4,4,2,4,6,0,no
5,28,4,2,3,0,2,no
86,781,24,11,21,116,0,no
16,108,6,1,4,0,0,no
14,85,7,2,7,9,0,no
29,139,9,4,9,0,0,no
27,204,9,6,9,36,0,no
17,52,5,2,4,10,0,no
8,92,3,2,2,3,0,no
0,4,0,0,0,0,0,no
99,564,51,10,49,1275,0,no
8,92,3,2,2,3,0,no
9,69,7,3,7,9,0,no
6,36,5,2,4,2,2,no
15,55,4,2,2,4,0,no
8,20,4,1,4,6,0,no
4,24,3,2,2,0,0,no
72,553,26,11,20,273,1,no
11,86,5,0,3,0,0,no
5,49,2,2,1,0,1,no
65,327,20,14,15,94,2,no
40,323,4,0,2,6,0,no
23,359,10,1,10,0,0,no
1,1,1,1,1,0,0,no
18,129,4,1,4,0,1,no
14,57,10,3,10,45,0,no
20,138,5,3,4,0,0,no
1,1,1,1,1,0,0,no
1,1,1,0,1,0,0,no
29,635,25,0,24,0,0,no
52,417,22,9,22,89,2,no
56,160,28,8,25,0,1,no
1,1,1,1,1,0,0,no
32,431,9,2,7,0,1,no
8,26,7,3,7,21,0,no
2,2,2,0,2,1,0,no
15,59,10,4,10,45,0,no
1,1,1,0,1,0,0,no
10,82,2,4,0,1,0,no
12,94,8,4,7,22,0,no
13,62,12,0,12,42,0,no
30,212,7,3,4,0,1,no
14,52,10,3,10,45,0,no
14,71,10,4,6,19,2,no
13,58,9,3,9,36,0,no
4,4,4,1,4,6,0,no
18,301,7,0,7,21,2,no
4,21,3,1,3,0,0,no
21,207,7,6,7,9,5,yes
7,46,5,1,5,6,0,yes
21,107,11,5,9,35,0,yes
55,453,16,14,14,0,3,yes
18,104,10,5,10,27,0,yes
32,172,9,4,9,0,0,yes
42,693,26,1,22,325,0,yes
6,35,5,1,5,0,0,yes
10,83,3,2,3,0,0,yes
34,323,12,5,11,32,0,yes
20,112,11,4,9,35,0,yes
11,108,4,4,2,4,1,yes
7,18,4,2,4,6,0,yes
15,295,8,1,7,26,1,yes
39,332,23,7,21,0,6,yes
35,304,19,7,17,77,1,yes
24,117,5,8,4,2,1,yes
17,134,8,5,7,0,2,yes
53,773,30,0,24,331,0,yes
42,458,14,0,12,91,0,yes
44,436,25,7,23,108,3,yes
34,331,22,5,20,199,0,yes
29,179,13,5,13,34,0,yes
13,62,9,3,9,36,0,yes
21,107,11,5,9,35,0,yes
19,91,10,4,8,39,0,yes
9,37,3,1,2,1,0,yes
33,243,17,7,15,32,2,yes
51,282,7,17,6,3,1,yes
20,113,11,4,9,35,0,yes
0,10,0,0,0,0,0,yes
41,181,5,16,2,6,2,yes
40,301,18,5,16,103,1,yes
63,741,47,6,45,167,12,yes
87,1806,57,7,17,1362,1,yes
30,318,19,5,17,95,0,yes
41,349,23,7,21,0,5,yes
15,60,8,4,6,28,0,yes
27,180,9,5,9,6,0,yes
36,310,22,4,20,197,0,yes
32,270,17,6,15,64,0,yes
13,69,10,4,10,3,0,yes
55,573,31,8,30,133,3,yes
4,4,4,1,4,6,0,yes
61,725,8,7,6,22,0,yes
33,228,18,6,16,99,1,yes
22,111,6,6,6,3,2,yes
40,452,25,6,25,106,7,yes
12,129,8,2,7,8,0,yes
48,439,5,17,2,6,2,yes
21,102,11,4,9,43,0,yes
45,370,21,8,19,92,2,yes
22,122,11,5,9,35,0,yes
14,67,10,3,10,45,0,yes
4,7,3,3,3,3,0,yes
23,122,14,3,12,73,0,yes
20,102,11,4,9,43,0,yes
22,122,11,5,9,35,0,yes
28,232,17,4,15,90,0,yes
51,305,11,13,11,25,0,yes
7,18,4,2,4,6,0,yes
