@relation synapse-1.2_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {yes,no}

@data
8,60,3,1,3,3,0,no
5,14,2,4,2,1,0,no
29,141,4,8,3,4,0,no
71,481,51,3,47,1025,0,no
46,544,14,9,9,0,0,no
31,179,4,0,2,0,0,no
30,373,2,14,1,1,0,no
77,673,17,19,15,34,6,no
25,139,3,10,3,3,0,no
10,10,10,5,10,45,0,no
73,609,15,12,11,67,0,no
24,114,3,8,3,3,0,no
25,156,3,11,3,3,0,no
15,46,3,7,3,3,0,no
12,12,12,3,12,66,0,no
64,570,8,21,4,0,1,no
3,3,3,2,3,3,0,no
8,21,3,5,2,1,0,no
31,193,26,4,24,245,1,no
28,142,3,13,3,3,0,no
70,537,23,17,22,143,0,no
67,695,5,13,2,0,0,no
44,274,43,0,43,781,0,no
15,46,3,7,3,3,0,no
22,194,6,10,5,3,0,no
1,1,1,0,1,0,0,no
16,97,4,6,3,2,0,no
29,133,4,10,3,4,0,no
6,18,3,5,3,3,0,no
17,151,7,5,5,9,0,no
1,1,1,1,1,0,0,no
21,178,4,12,2,0,0,no
13,35,6,10,6,15,0,no
35,200,3,11,2,1,0,no
47,242,5,19,2,0,0,no
1,1,1,0,1,0,0,no
29,212,4,11,3,2,0,no
18,153,5,6,3,0,2,no
0,0,0,0,0,0,0,no
29,218,4,9,3,2,0,no
10,46,5,9,4,0,2,no
45,250,11,13,10,11,3,no
3,3,3,2,3,3,0,no
7,36,2,5,2,0,1,no
16,56,3,10,3,3,0,no
27,145,3,11,3,3,0,no
4,20,3,0,3,0,0,no
9,31,4,5,3,4,0,no
17,59,4,9,2,0,0,no
28,122,5,10,3,8,0,no
20,148,10,1,10,9,0,no
2,2,2,2,2,1,0,no
13,35,4,9,4,6,0,no
6,6,6,1,6,15,0,no
19,159,5,8,4,6,0,no
22,154,6,3,5,0,0,no
42,384,5,9,3,4,0,no
51,334,7,9,4,5,0,no
11,46,10,3,10,35,1,no
4,10,2,1,2,1,0,no
21,232,6,8,5,3,0,no
53,307,15,11,11,61,2,no
90,845,27,11,26,349,0,no
13,41,3,7,3,3,0,no
14,45,3,8,3,3,0,no
9,30,4,5,3,4,0,no
25,218,4,8,3,2,0,no
4,9,2,2,2,1,0,no
31,456,4,10,3,6,0,no
29,191,4,11,3,2,0,no
31,225,3,11,3,3,0,no
2,2,2,2,2,1,0,no
28,117,12,14,12,54,1,no
12,56,6,2,6,1,0,no
12,70,9,2,8,26,1,no
8,8,8,0,8,28,0,no
8,27,4,4,3,4,0,no
62,329,17,16,16,88,0,no
21,132,4,9,3,4,0,no
30,161,4,14,3,2,0,no
1,1,1,2,1,0,0,no
14,45,3,8,3,3,0,no
69,598,4,18,2,2,0,no
32,220,7,4,5,9,0,no
20,106,6,7,4,0,1,no
33,207,5,6,2,2,0,no
7,43,3,1,3,1,0,no
38,336,11,9,7,0,1,no
8,38,2,10,1,1,0,no
18,154,5,7,0,10,0,no
26,159,14,7,14,29,2,no
28,200,18,1,18,87,0,no
9,31,4,5,3,4,0,no
15,46,3,7,3,3,0,no
13,113,3,8,3,0,1,no
24,94,3,12,3,3,0,no
37,227,7,9,5,13,0,no
21,110,3,10,3,3,0,no
9,20,2,6,2,1,0,no
14,63,2,11,1,1,0,no
38,220,5,11,1,8,1,no
6,21,2,4,1,1,0,no
8,113,7,0,7,0,0,no
19,143,5,9,4,10,0,no
2,2,2,1,2,1,0,no
4,4,4,1,4,6,0,no
2,4,1,0,1,0,0,no
4,17,3,1,3,0,0,no
1,1,1,0,1,0,0,no
23,101,4,10,2,2,0,no
7,30,4,6,2,4,1,no
36,181,8,16,0,22,0,no
27,128,3,13,3,3,0,no
3,3,3,1,3,3,0,no
14,40,2,5,1,1,0,no
18,90,3,11,2,1,0,no
25,145,4,10,2,2,0,no
1,1,1,0,1,0,0,no
12,75,9,1,9,22,2,no
15,126,14,0,14,0,0,no
2,2,2,2,2,1,0,no
22,174,4,10,3,4,0,no
1,1,1,2,1,0,0,no
9,30,4,5,3,4,0,no
52,52,52,10,52,1326,0,no
12,33,3,4,3,3,0,no
31,132,5,12,2,0,0,no
24,188,4,8,4,4,0,no
22,22,22,0,22,231,0,no
26,158,3,9,2,1,0,no
17,76,6,3,3,5,1,no
22,202,6,9,5,3,0,no
1,1,1,0,1,0,0,no
28,163,6,6,2,5,0,no
13,51,4,4,1,4,1,no
35,435,5,10,3,6,0,no
28,260,4,10,3,2,0,no
19,66,4,7,3,2,0,no
65,566,11,18,3,49,0,no
74,461,23,18,19,175,3,no
22,126,4,12,2,2,0,no
17,82,3,12,2,1,0,no
16,101,3,12,1,3,0,no
9,30,4,5,3,4,0,no
15,46,2,7,1,1,0,no
2,10,1,0,1,0,0,no
14,46,2,8,2,1,0,no
15,50,3,9,3,3,0,no
19,88,3,8,3,3,0,no
2,6,1,0,1,0,0,no
11,26,3,6,2,1,0,no
45,382,13,12,8,10,1,no
27,167,4,13,3,2,0,no
29,222,4,13,3,2,0,no
13,57,2,0,2,0,0,no
29,156,4,14,3,6,0,no
29,143,3,11,2,1,0,no
23,77,5,9,2,8,0,no
1,1,1,0,1,0,0,no
11,49,4,6,3,2,0,no
4,4,4,3,4,6,0,no
42,326,15,9,12,27,1,no
26,288,5,3,5,0,0,no
4,4,4,1,4,6,0,no
22,146,6,9,5,15,0,no
2,7,1,0,1,0,0,no
22,114,7,9,7,5,1,no
21,107,3,10,3,3,0,no
10,43,4,4,1,4,1,no
15,60,6,2,6,0,1,no
52,271,15,15,14,37,4,yes
2,2,2,3,2,1,0,yes
30,183,2,3,1,1,0,yes
51,319,5,16,5,0,1,yes
71,542,11,16,9,1,1,yes
37,319,12,7,8,2,0,yes
16,76,4,6,2,4,0,yes
45,219,6,21,3,13,0,yes
6,17,3,0,3,3,0,yes
42,202,8,3,3,8,0,yes
32,242,6,16,2,11,1,yes
66,493,5,20,4,4,0,yes
7,40,3,4,3,1,2,yes
44,388,22,4,20,135,1,yes
29,167,8,8,8,0,1,yes
64,313,8,27,6,20,1,yes
56,606,6,11,3,13,0,yes
39,210,10,13,9,0,0,yes
69,511,14,29,12,51,2,yes
45,235,9,24,3,32,0,yes
16,88,2,13,1,1,0,yes
7,7,7,1,7,21,0,yes
15,50,3,8,2,1,0,yes
31,144,3,12,3,3,0,yes
37,390,12,8,12,14,1,yes
42,558,7,4,4,9,0,yes
66,918,16,14,14,58,0,yes
33,248,10,7,6,0,0,yes
30,235,9,5,5,6,0,yes
37,214,6,10,3,3,0,yes
39,535,17,9,17,52,3,yes
21,145,2,16,1,1,0,yes
44,342,8,23,3,26,0,yes
53,357,15,19,14,27,3,yes
64,544,22,23,20,135,2,yes
16,74,3,5,3,3,0,yes
18,80,5,6,2,8,1,yes
16,48,4,7,3,4,0,yes
43,245,7,7,2,15,0,yes
28,139,6,6,2,13,1,yes
23,117,4,11,1,4,1,yes
18,106,2,3,1,1,0,yes
27,150,4,9,3,4,0,yes
51,435,12,14,10,10,1,yes
16,50,2,6,2,1,0,yes
23,114,2,8,2,1,0,yes
105,620,6,32,3,0,0,yes
18,79,8,4,7,8,1,yes
136,776,61,21,61,378,2,yes
60,483,16,9,9,34,0,yes
59,1312,11,4,2,25,0,yes
16,70,3,5,3,3,0,yes
58,444,17,12,11,100,2,yes
35,176,10,7,10,0,0,yes
84,507,15,28,6,99,0,yes
26,151,5,6,4,0,0,yes
52,428,16,12,16,60,0,yes
32,219,8,6,8,0,2,yes
26,171,6,4,3,9,0,yes
50,488,7,12,5,0,1,yes
38,268,4,16,4,0,1,yes
45,351,9,11,6,22,0,yes
71,677,20,12,18,90,3,yes
32,232,3,11,3,3,0,yes
5,88,2,0,1,1,0,yes
11,68,7,3,7,13,2,yes
45,165,5,20,3,8,0,yes
60,709,8,9,1,12,0,yes
39,406,9,10,5,0,1,yes
71,442,14,13,11,47,0,yes
28,265,7,6,3,0,1,yes
87,753,25,24,22,168,1,yes
36,371,4,9,3,2,0,yes
75,940,15,13,10,49,0,yes
106,828,28,29,20,216,3,yes
86,740,25,21,22,174,2,yes
172,1449,67,37,60,1931,5,yes
14,89,4,6,3,0,0,yes
105,455,8,28,7,28,0,yes
8,33,2,4,2,1,0,yes
33,229,15,5,5,7,0,yes
19,78,4,7,1,4,1,yes
108,976,50,20,48,697,2,yes
6,106,2,3,1,1,0,yes
107,844,20,29,14,104,1,yes
102,620,9,37,3,30,0,yes
