@relation velocity-1.6_mod

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {yes,no}

@data
6,16,3,4,3,3,0,no
78,530,25,5,17,194,3,no
62,417,18,10,6,149,1,no
24,151,16,2,11,106,1,no
43,376,8,12,8,8,1,no
6,17,3,3,3,3,0,no
17,120,4,3,4,0,1,no
6,12,3,2,1,3,0,no
35,337,12,15,9,66,0,no
18,103,13,4,13,58,1,no
19,184,6,0,4,15,0,no
92,438,37,13,34,0,1,no
1,1,1,0,1,0,0,no
24,207,6,9,5,15,0,no
19,263,9,4,8,8,0,no
7,35,4,1,4,0,0,no
14,48,3,6,3,3,0,no
29,342,19,0,14,61,0,no
6,17,3,3,3,3,0,no
5,5,5,2,5,10,0,no
1,1,1,1,1,0,0,no
19,133,4,7,4,6,0,no
18,388,5,1,4,0,1,no
6,30,5,1,4,0,1,no
15,116,3,4,2,0,1,no
27,129,20,3,17,118,1,no
24,197,6,9,5,15,0,no
20,110,6,2,5,3,0,no
9,52,3,5,1,1,2,no
12,62,5,8,5,10,0,no
14,79,8,3,8,6,0,no
1,1,1,1,1,0,0,no
46,198,25,5,21,298,1,no
74,731,24,0,23,274,0,no
10,37,4,8,4,6,0,no
11,32,5,8,5,10,0,no
19,247,5,4,5,10,0,no
10,84,3,0,2,1,0,no
63,830,15,17,8,9,3,no
11,46,4,5,3,6,0,no
26,149,7,1,6,1,0,no
2,5,1,1,1,0,0,no
21,206,4,3,3,4,0,no
9,28,6,4,5,13,0,no
6,6,6,1,6,15,0,no
39,288,8,9,5,8,0,no
12,50,4,0,4,6,0,no
6,12,3,2,1,3,0,no
30,163,6,8,4,0,1,no
1,1,1,1,1,0,0,no
17,94,4,6,3,0,1,no
10,53,5,6,5,10,0,no
9,43,7,0,7,11,0,no
4,10,2,2,2,1,0,no
52,854,16,0,12,112,0,no
41,425,8,7,6,2,0,no
3,3,3,2,3,3,0,no
1,1,1,0,1,0,0,no
3,3,3,0,3,3,0,no
5,11,2,1,1,1,0,no
3,3,3,0,3,3,0,no
12,12,12,0,12,66,0,no
4,23,3,0,3,3,2,no
6,12,3,2,1,3,0,no
10,53,5,6,5,10,0,no
25,253,12,1,12,0,0,no
4,4,4,0,4,6,0,no
34,211,6,4,6,0,1,no
7,45,5,3,5,0,0,no
13,74,3,5,3,3,0,no
3,6,2,2,2,1,0,no
1,1,1,4,1,0,0,no
6,16,3,4,3,3,0,no
8,41,6,1,5,9,0,no
1,1,1,1,1,0,0,no
16,87,2,6,2,1,0,no
8,31,4,0,4,0,0,no
10,32,5,4,5,10,0,no
36,298,18,3,18,133,1,no
6,103,5,0,4,0,0,no
11,41,3,2,2,3,0,no
7,23,4,0,4,0,0,no
84,565,22,12,20,177,0,no
7,18,3,4,3,3,0,no
2,2,2,2,2,1,0,no
10,42,2,1,2,1,0,no
3,3,3,0,3,3,0,no
13,62,5,6,5,0,0,no
60,133,30,10,30,435,0,no
5,5,5,0,5,10,0,no
38,310,5,15,5,0,1,no
12,43,4,6,4,6,0,no
12,437,4,0,3,6,0,no
20,185,6,0,4,9,0,no
11,31,5,6,5,10,0,no
2,2,2,1,2,1,0,no
44,559,11,9,6,27,0,no
20,86,10,2,10,3,0,no
19,204,9,5,9,0,0,no
24,126,4,6,2,0,1,no
1,1,1,1,1,0,0,no
18,99,6,8,3,7,1,no
0,2,0,0,0,0,0,no
3,3,3,1,3,3,0,no
4,4,4,0,4,6,0,no
6,30,5,1,4,0,1,no
5,20,2,3,2,1,0,no
6,17,3,3,3,3,0,no
40,470,10,3,4,39,0,no
6,17,3,3,3,3,0,no
6,17,3,3,3,3,0,no
28,371,15,10,15,29,0,no
20,91,7,8,6,11,0,no
12,54,5,6,5,0,0,no
30,93,12,7,11,64,0,no
19,157,5,3,3,2,1,no
6,12,3,2,1,3,0,no
20,88,6,8,5,15,0,no
1,1,1,1,1,0,0,no
14,42,3,1,3,0,0,no
1,1,1,1,1,0,0,no
4,10,2,2,2,1,0,no
6,17,3,1,3,3,0,no
14,48,3,6,3,3,0,no
25,145,4,1,2,6,0,no
12,67,4,6,4,6,0,no
10,39,5,6,5,10,0,no
8,45,3,1,0,1,0,no
24,124,5,7,3,4,1,no
26,132,4,6,2,6,0,no
3,3,3,1,3,3,0,no
6,17,3,1,3,3,0,no
18,74,4,6,4,0,1,no
2,6,1,0,1,0,0,no
6,19,2,4,1,1,0,no
36,375,18,3,13,0,5,no
7,20,4,4,4,6,0,no
9,28,6,4,5,13,0,no
8,23,3,3,3,3,0,no
36,271,7,14,5,9,3,no
23,163,7,11,6,9,0,no
0,0,0,0,0,0,0,no
3,3,3,2,3,3,0,no
36,1008,24,1,21,0,0,no
