@relation xalan-2.7

@attribute rfc numeric
@attribute loc numeric
@attribute wmc numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom numeric
@attribute moa numeric
@attribute bug {yes,no}

@data
49,699,13,2,0,64,0,yes
1,1,1,2,1,0,0,yes
12,117,9,0,7,0,0,yes
16,425,4,1,3,6,0,yes
6,29,4,4,3,2,0,yes
46,267,3,10,3,3,0,yes
7,43,3,5,3,1,0,yes
5,17,3,0,3,3,0,yes
60,375,6,27,5,0,3,yes
26,477,15,2,14,1,1,yes
29,125,11,3,11,53,0,yes
28,122,8,13,7,0,1,yes
2,17,1,0,1,0,1,yes
7,25,3,5,3,3,0,yes
22,131,3,19,3,3,0,yes
48,520,10,12,7,25,0,yes
24,109,2,4,2,1,0,yes
59,680,9,18,9,16,0,yes
4,14,2,3,2,1,0,yes
19,107,13,8,13,64,1,yes
49,699,13,2,0,64,0,yes
47,182,22,11,22,189,4,yes
20,204,9,3,9,36,0,yes
66,623,8,3,5,0,2,yes
44,233,18,22,17,117,3,yes
4,315,2,2,2,1,0,yes
7,506,2,5,2,1,0,yes
21,269,7,0,1,3,0,yes
51,168,27,3,27,0,1,yes
31,217,2,13,0,0,9,yes
83,583,24,22,23,148,4,yes
6,87,4,0,4,0,0,yes
2,28,1,4,1,0,4,yes
21,135,11,4,11,23,2,yes
1,1,1,2,1,0,0,yes
4,4,4,1,4,6,0,yes
8,21,4,0,4,6,0,yes
1,1,1,1,1,0,0,yes
13,36,2,6,1,1,0,yes
26,272,11,5,8,0,3,yes
3,3,3,3,3,3,0,yes
4,315,2,2,2,1,0,yes
3,13,2,0,2,1,0,yes
4,315,2,2,2,1,0,yes
52,380,13,15,13,40,3,yes
31,290,14,2,12,21,0,yes
54,466,22,32,20,199,0,yes
49,699,13,2,0,64,0,yes
19,64,7,3,7,0,1,yes
2,4,1,1,1,0,0,yes
17,127,2,1,2,1,0,yes
2,6,1,1,1,0,0,yes
15,76,7,6,5,1,1,yes
4,6,3,0,3,3,0,yes
20,90,11,1,0,53,0,yes
11,105,8,2,8,0,0,yes
12,13,12,0,12,66,0,yes
21,344,14,0,12,31,0,yes
28,129,5,15,4,0,1,yes
6,24,4,2,3,0,0,yes
6,439,2,4,2,1,0,yes
20,90,11,1,0,53,0,yes
7,618,2,5,2,1,0,yes
6,633,2,4,2,1,0,yes
42,223,11,14,10,15,1,yes
3,29,2,0,2,0,0,yes
17,155,7,3,7,0,0,yes
18,215,7,2,7,1,0,yes
49,699,13,2,0,64,0,yes
6,633,2,4,2,1,0,yes
29,158,9,8,6,36,0,yes
15,235,11,0,11,0,0,yes
3,3764,2,1,2,1,0,yes
24,191,3,22,3,0,4,yes
57,611,11,31,11,0,2,yes
11,50,6,1,6,9,0,yes
11,51,3,8,3,0,1,yes
4,12,2,1,2,1,0,yes
88,1134,27,5,24,341,6,yes
16,242,4,3,3,0,0,yes
23,82,9,9,0,36,0,yes
41,438,18,16,17,0,1,yes
4,315,2,2,2,1,0,yes
7,608,2,5,2,1,0,yes
2,6,1,0,0,0,0,yes
46,219,9,20,8,6,1,yes
31,132,4,15,4,0,0,yes
23,124,9,8,8,6,1,yes
45,358,11,13,9,0,2,yes
4,19,3,0,3,0,0,yes
5,17,2,3,2,1,0,yes
2,5,1,0,1,0,0,yes
40,224,5,15,4,4,1,yes
10,30,2,10,2,1,0,yes
20,90,11,1,0,53,0,yes
2,10,1,5,1,0,0,yes
46,630,20,30,19,184,0,yes
22,153,5,10,4,0,0,yes
69,616,8,14,6,12,1,yes
12,34,5,4,4,0,0,yes
18,108,5,0,5,10,0,yes
15,65,10,3,10,5,1,yes
8,35,2,5,2,1,0,yes
77,572,35,7,35,323,0,yes
2,5,1,1,1,0,0,yes
9,85,5,1,1,0,1,yes
15,4489,4,0,3,6,0,yes
33,237,5,20,4,0,1,yes
10,26,2,10,2,1,0,yes
19,86,11,6,11,35,3,yes
23,82,9,9,0,36,0,yes
7,518,2,5,2,1,0,yes
12,71,2,5,2,1,0,yes
4,10,3,1,3,3,0,yes
31,152,5,7,4,2,1,yes
16,62,6,2,4,0,0,yes
12,133,3,1,3,0,0,yes
20,90,11,1,0,53,0,yes
3,1009,2,1,2,1,0,yes
48,302,10,28,10,1,2,yes
16,177,3,8,3,3,0,yes
16,64,4,6,4,6,1,yes
5,23,3,0,3,0,0,yes
22,88,6,11,6,15,0,yes
18,157,7,10,6,0,1,yes
31,268,13,6,12,14,4,yes
